county_name,median_hh_income,total_population,pop_white_non_hispanic,pop_hispanic_any_race,pop_black_non_hispanic,housing_units_total,housing_units_owner_occupied,commuters_total,commuters_drove_alone,hh_income_total,hh_income_under_10k,hh_income_10k_to_14999,hh_income_15k_to_19999,hh_income_20k_to_24999,hh_income_25k_to_29999,hh_income_30k_to_34999,hh_income_35k_to_39999,hh_income_40k_to_44999,hh_income_45k_to_49999,hh_income_50k_to_59999,hh_income_60k_to_74999,hh_income_75k_to_99999,hh_income_100k_to_124999,hh_income_125k_to_149999,hh_income_150k_to_199999,hh_income_200k_and_over,state_fips,county_fips,share_under_150k
"Santa Cruz County, California",111093,264926,142831,93346,1912,96898,58079,125770,88458,96898.0,4066.0,2607.0,2019.0,2579.0,2164.0,2023.0,2164.0,2246.0,2243.0,4321.0,6619.0,11163.0,9578.0,7341.0,11531.0,24234.0,06,087,0.6309005345827571
"Shasta County, California",72636,181436,136633,21346,1502,71232,46694,74793,64369,71232.0,3521.0,3037.0,2403.0,2881.0,2635.0,2877.0,2400.0,2648.0,2496.0,4682.0,6974.0,9900.0,6849.0,4674.0,5971.0,7284.0,06,089,0.813917902066487
"Sierra County, California",63355,2746,2362,301,8,1219,879,1086,839,1219.0,19.0,61.0,92.0,92.0,37.0,55.0,13.0,55.0,32.0,147.0,102.0,203.0,100.0,44.0,44.0,123.0,06,091,0.8630024610336341
"Siskiyou County, California",59095,43466,31859,5860,579,19079,13203,16184,13439,19079.0,1266.0,964.0,1056.0,813.0,906.0,807.0,816.0,829.0,677.0,1492.0,2156.0,2146.0,1569.0,1196.0,1290.0,1096.0,06,093,0.8749410346454217
"Solano County, California",100401,451918,150061,133953,55694,157512,99263,204574,170739,157512.0,6865.0,3753.0,2828.0,3620.0,3881.0,3587.0,3882.0,3816.0,4429.0,8949.0,12544.0,20320.0,17684.0,13730.0,20022.0,27602.0,06,095,0.6976484331352532
"Sonoma County, California",104674,485040,280966,145518,7185,190998,119598,237164,186723,190998.0,7298.0,4554.0,3290.0,4143.0,4451.0,4077.0,4704.0,5064.0,4699.0,10423.0,15129.0,23121.0,20464.0,15746.0,24367.0,39468.0,06,097,0.6657818406475461
"Stanislaus County, California",81468,553990,200834,277207,14369,177874,108828,233227,205203,177874.0,7820.0,6035.0,4851.0,5406.0,5227.0,4760.0,6224.0,6778.0,5609.0,12389.0,16853.0,24225.0,19548.0,15387.0,16618.0,20144.0,06,099,0.7933256125122278
"Sutter County, California",79704,98857,40226,32532,1573,33292,20417,41859,37389,33292.0,1387.0,1401.0,990.0,704.0,1011.0,1301.0,1010.0,1027.0,1389.0,2456.0,3207.0,4130.0,3694.0,2524.0,3234.0,3827.0,06,101,0.7879070046858104
"Tehama County, California",63784,65167,40017,18941,531,24788,16640,25059,21688,24788.0,1208.0,1293.0,1013.0,605.0,1241.0,1078.0,1161.0,1360.0,937.0,1838.0,2223.0,3421.0,2168.0,1810.0,1668.0,1764.0,06,103,0.8615459093109569
"Trinity County, California",53002,15860,12274,973,173,5585,4006,5164,3747,5585.0,475.0,309.0,306.0,331.0,234.0,260.0,298.0,184.0,347.0,287.0,464.0,864.0,454.0,114.0,234.0,424.0,06,105,0.8821844225604297
"Tulare County, California",71300,478693,121847,318976,6258,143195,83701,189030,171851,143195.0,6490.0,5330.0,4531.0,4320.0,6430.0,4950.0,5723.0,5003.0,6780.0,10679.0,15346.0,19732.0,14336.0,10545.0,10841.0,12159.0,06,107,0.8393798666154545
"Tuolumne County, California",77404,54498,42487,7398,971,22690,16771,20077,16797,22690.0,726.0,970.0,1052.0,494.0,793.0,730.0,633.0,794.0,779.0,1671.0,2403.0,2888.0,2236.0,2076.0,2022.0,2423.0,06,109,0.8040987219039224
"Ventura County, California",109797,837469,351308,371359,13835,280360,181039,400814,322474,280360.0,9971.0,5290.0,5153.0,5347.0,6144.0,6542.0,6930.0,7881.0,6844.0,13824.0,20928.0,32508.0,29479.0,24815.0,36998.0,61706.0,06,111,0.647938364959338
"Yolo County, California",91752,220564,92161,73569,5323,76693,41637,102474,71024,76693.0,5706.0,2659.0,1874.0,1960.0,2661.0,2275.0,1660.0,1940.0,1674.0,4079.0,6764.0,7903.0,7351.0,6285.0,8151.0,13751.0,06,113,0.7144198297106646
"Yuba County, California",76373,84507,41396,26003,3196,28635,18182,35801,31762,28635.0,1310.0,901.0,868.0,1354.0,970.0,954.0,1100.0,803.0,871.0,1969.0,3022.0,4003.0,3457.0,1950.0,2748.0,2355.0,06,115,0.8217915138816134
