county,year,gasoline_million_gallons,gasoline_gallons
Total,2013,14540,14540000000.0
Total,2014,14701,14701000000.0
Total,2015,15108,15108000000.0
Total,2016,15491,15491000000.0
Total,2017,15584,15584000000.0
Total,2018,15471,15471000000.0
Total,2019,15365,15365000000.0
Total,2020,12572,12572000000.0
Total,2021,13818,13818000000.0
Total,2022,13640,13640000000.0
Total,2023,13576,13576000000.0
Total,2024,13423,13423000000.0
